,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max
0,89dfc1cd-5cee-49e9-884b-8e07f18713a3,1,110,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,110,1.0,1.395460844039917,51.0,True,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,
1,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.5490676,0.254,26988124.0,27911360.0
2,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.8326013,0.176,26988124.0,27911360.0
3,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.401873,0.346,26988124.0,27911360.0
4,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,112,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.6361187,0.22,26988124.0,27911360.0
5,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,113,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4157277,0.374,26988124.0,27911360.0
6,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,114,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.6591452,0.208,26988124.0,27911360.0
7,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,109,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.536893,0.266,26988124.0,27911360.0
8,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,110,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.8367002,0.16,26988124.0,27911360.0
9,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,111,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.4161508,0.332,26988124.0,27911360.0
10,89dfc1cd-5cee-49e9-884b-8e07f18713a3,0,110,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Inside_Count/Resnet50_SimCLR/Mask_Parameters/aeed1400-c524-4bde-8bf0-4857cb18214b/110/T110_0.05_5stage,0,CVRTDataModule,112,,,,,resnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",validate,1.6000216,0.202,26988124.0,27911360.0
