,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
0,1.0,1.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,105,0.972000002861023,36.0,1.0,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,
1,1.0,0.0,105,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.2421875,
2,1.0,0.0,105,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.24355468153953552,
3,1.0,0.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",322285.0,0.7408202886581421,1.1592708826065063
4,1.0,0.0,105,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.2421875,
5,1.0,0.0,105,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.24355468153953552,
6,1.0,0.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",322285.0,0.23769530653953552,1.460202693939209
7,1.0,0.0,105,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.2421875,
8,1.0,0.0,105,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.24355468153953552,
9,1.0,0.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",322285.0,0.9750000238418579,1.0431087017059326
10,1.0,0.0,105,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.2421875,
11,1.0,0.0,105,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.24355468153953552,
12,1.0,0.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",322285.0,0.23515625298023224,1.3933221101760864
13,1.0,0.0,105,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,109,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.2421875,
14,1.0,0.0,105,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,109,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27589076.0,0.24355468153953552,
15,1.0,0.0,105,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model2_T105_-0.03_5stage,CNN,1.0,CVRTDataModule,109,,,,L0resnet50,64.0,0.01,-0.03,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",322285.0,0.99609375,0.9497125744819641
