,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
4,4,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862927,0.96666664,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
5,5,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862941,0.5133333,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
6,6,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862933,0.726,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
7,7,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862946,0.19,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
8,8,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862929,0.884,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
9,9,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862927,0.9633333,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
10,10,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.05,0,validate,1.3862942,0.50333333,12731513.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
11,11,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.05,0,validate,0.7385613,0.642,113543.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
12,12,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.05,0,validate,0.053518854,1.0,113543.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
13,13,5a437666-80c7-4b8f-af43-8ae7130ed5d2,0,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24/6/T6_0.05_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.05,0,validate,2.3037126,0.226,113543.0,12845056.0,0.45333334000000003,2f6a349f-d1a1-41b7-bcf7-fbaff3eadc24
