,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
0,1.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,1.0,30.0,1.0,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",,,
1,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2421875,
2,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2603515684604645,
3,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",319967.0,0.896484375,0.5022022724151611
4,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2421875,
5,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2603515684604645,
6,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",319967.0,1.0,0.07541892677545547
7,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2421875,
8,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",26156576.0,0.2603515684604645,
9,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",319967.0,0.3056640625,2.0690419673919678
